base_date,cparty_name,category,RWA,EAD
2023-09-01,Alpha Corp,Retail,100000,50000
2023-09-02,Beta Inc,Commercial,150000,70000
2023-09-03,Gamma LLC,Retail,110000,55000
2023-09-04,Delta Plc,Industrial,140000,65000
2023-09-05,Epsilon Co,Retail,105000,52500
2023-09-06,Zeta Corp,Commercial,160000,80000
2023-09-07,Eta Inc,Industrial,135000,67500
2023-09-08,Theta LLC,Retail,120000,60000
2023-09-09,Iota Plc,Commercial,170000,85000
2023-09-10,Kappa Co,Retail,115000,57500
2023-09-11,Lambda Corp,Commercial,155000,77500
2023-09-12,Mu Inc,Industrial,130000,65000
2023-09-13,Nu LLC,Retail,125000,62500
2023-09-14,Xi Plc,Commercial,165000,82500
2023-09-15,Omicron Co,Industrial,145000,72500
2023-09-16,Pi Corp,Retail,112500,56250
2023-09-17,Rho Inc,Commercial,162500,81250
2023-09-18,Sigma LLC,Industrial,137500,68750
2023-09-19,Tau Plc,Retail,118750,59375
2023-09-20,Upsilon Co,Commercial,157500,78750
